Nilai Pajak,Jenis Penerimaan Pajak,Kota/Kab,Predicted_Cluster
41807619861,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
20121578045,PPN Dalam Negeri,Kabupaten Bolaang Mongondow,0
83407460966,PPh Pasal 22,Kabupaten Bolaang Mongondow Selatan,3
31132563247,PPh Migas,Kota Tomohon,0
1070739576,PPh Pasal 22,Kabupaten Bolaang Mongondow Utara,5
84320336877,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Selatan,0
54177274621,PPh Migas,Kabupaten Bolaang Mongondow,1
20781193822,PPh Pasal 25/29 OP,Kabupaten Minahasa Utara,3
83257148504,PPh Pasal 23,Kota Tomohon,5
13367002790,Pajak Lainnya,Kabupaten Minahasa Utara,3
71440342801,PPN Impor,Kabupaten Bolaang Mongondow,1
62523758355,PPh Pasal 26,Kabupaten Minahasa Utara,3
52765540875,PPN Dalam Negeri,Kota Kotamobagu,0
22808283617,PPh Pasal 25/29 OP,Kota Bitung,3
47174910453,PPh Pasal 25/29 OP,Kota Kotamobagu,7
5680090158,Pendapatan PPh DTP,Kabupaten Minahasa Tenggara,3
9156851244,PPh Pasal 25/29 Badan,Kota Kotamobagu,2
65385549167,PPh Pasal 21,Kabupaten Bolaang Mongondow Utara,5
42338159776,PPh Migas,Kota Bitung,3
33354973197,PPN Lainnya,Kabupaten Kepulauan Sangihe,2
77587929972,PPh Final,Kabupaten Minahasa Utara,2
62388305473,PPh Pasal 25/29 OP,Kabupaten Minahasa Utara,3
57083587166,PPN Impor,Kabupaten Minahasa Selatan,3
10809333173,PPN Impor,Kota Kotamobagu,1
13596950629,PPh Pasal 26,Kota Tomohon,1
23491268525,PPh Pasal 22 Impor,Kabupaten Kepulauan Sangihe,2
19918230064,PPN Lainnya,Kabupaten Bolaang Mongondow Utara,5
18758943102,PPh Pasal 22 Impor,Kabupaten Kepulauan Talaud,3
51833807952,PPN Impor,Kabupaten Bolaang Mongondow Selatan,3
37445440721,PPh Pasal 23,Kabupaten Minahasa,3
2127061781,PPh Pasal 25/29 Badan,Kabupaten Minahasa Tenggara,3
46080862439,PPh Final,Kabupaten Kepulauan Sangihe,2
3247866610,PPh Pasal 23,Kabupaten Minahasa Selatan,3
41894113636,PPh Pasal 25/29 OP,Kota Kotamobagu,7
27024934803,PPh Pasal 21,Kota Kotamobagu,5
76005128380,Pajak Lainnya,Kabupaten Kepulauan Sangihe,1
32639608881,PPh Pasal 22,Kabupaten Bolaang Mongondow Timur,3
92660662574,PBB dan BPHTB,Kabupaten Bolaang Mongondow Timur,3
12692597968,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow Utara,3
10087695808,Pendapatan PPh DTP,Kota Kotamobagu,1
40339811187,PPN Dalam Negeri,Kabupaten Kepulauan Talaud,0
36215063594,PPh Pasal 22 Impor,Kabupaten Siau Tagulandang Biaro,3
73666763950,PBB dan BPHTB,Kota Bitung,3
74965352899,PPh Pasal 23,Kabupaten Bolaang Mongondow Utara,5
74888691203,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Timur,9
95866876828,PPh Migas,Kabupaten Siau Tagulandang Biaro,3
41786910497,PPnBM Lainnya,Kabupaten Bolaang Mongondow Selatan,3
22571612333,Pendapatan PPh DTP,Kota Tomohon,0
28392488268,PPh Pasal 25/29 OP,Kota Bitung,3
42109565114,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
35123409183,PBB dan BPHTB,Kabupaten Minahasa Utara,3
10203386627,PPh Pasal 25/29 OP,Kota Bitung,3
8926986888,PPh Pasal 21,Kabupaten Bolaang Mongondow Timur,5
61253491534,Pendapatan PPh DTP,Kabupaten Minahasa,3
10993028716,PBB dan BPHTB,Kabupaten Minahasa Selatan,3
22064548996,PBB dan BPHTB,Kota Kotamobagu,3
23830663095,Pajak Lainnya,Kabupaten Bolaang Mongondow Utara,5
3991312078,PPh Pasal 22,Kabupaten Bolaang Mongondow Selatan,3
72553359074,PPh Pasal 21,Kabupaten Bolaang Mongondow Timur,5
64599346821,PPh Pasal 23,Kabupaten Bolaang Mongondow Timur,3
97001459760,PPh Pasal 26,Kabupaten Kepulauan Talaud,3
35282379779,PPN Lainnya,Kota Kotamobagu,1
93741030793,Pajak Lainnya,Kabupaten Bolaang Mongondow Selatan,3
95410529230,PPh Pasal 23,Kabupaten Bolaang Mongondow,5
14112265160,PPN Impor,Kota Tomohon,0
66855582162,Pajak Lainnya,Kabupaten Bolaang Mongondow Utara,5
23119793122,Pajak Lainnya,Kabupaten Bolaang Mongondow Utara,5
26743639071,PPN Impor,Kabupaten Bolaang Mongondow Utara,5
3966486217,PPh Pasal 25/29 OP,Kabupaten Minahasa,3
54700901849,PPN Impor,Kabupaten Minahasa Selatan,3
22236514050,Pajak Lainnya,Kabupaten Minahasa Utara,3
20933567262,PBB dan BPHTB,Kabupaten Kepulauan Talaud,3
57725981566,PPh Final,Kabupaten Kepulauan Talaud,2
98916905116,Pajak Lainnya,Kabupaten Kepulauan Sangihe,1
13630220920,PPh Pasal 22,Kabupaten Bolaang Mongondow Utara,5
46158067393,PPh Pasal 21,Kota Tomohon,5
6827942428,PPN Lainnya,Kota Bitung,3
3752836752,PPh Pasal 22,Kabupaten Kepulauan Sangihe,3
67960693945,PPh Pasal 23,Kabupaten Bolaang Mongondow Timur,3
85461808828,PPh Pasal 26,Kabupaten Minahasa Selatan,3
29967311679,PPnBM Lainnya,Kota Tomohon,0
79017628209,PPh Migas,Kabupaten Minahasa,3
83073880909,PPh Pasal 23,Kabupaten Bolaang Mongondow,5
94138881301,PPh Pasal 21,Kota Kotamobagu,5
51263792656,PPh Pasal 22 Impor,Kabupaten Minahasa Selatan,3
84894001952,PPN Impor,Kabupaten Kepulauan Talaud,3
75513289750,PPh Pasal 22,Kabupaten Minahasa Tenggara,3
53171710100,PPh Migas,Kabupaten Minahasa,3
15198082735,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Timur,0
4839156725,PPnBM Lainnya,Kabupaten Bolaang Mongondow Timur,9
46636905859,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Timur,9
49065826053,PPN Lainnya,Kabupaten Siau Tagulandang Biaro,3
86630932000,PPh Pasal 25/29 OP,Kota Bitung,3
96248672708,PPN Dalam Negeri,Kota Kotamobagu,0
71897158837,PPh Migas,Kabupaten Siau Tagulandang Biaro,3
89333917765,Pendapatan PPh DTP,Kabupaten Kepulauan Sangihe,2
26212825823,PPN Lainnya,Kabupaten Minahasa,3
49478802141,PPh Pasal 21,Kota Tomohon,5
76161454587,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
78167428838,PPN Lainnya,Kota Bitung,3
10041396840,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow,1
18972098628,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow Selatan,3
3113238132,PPN Lainnya,Kabupaten Bolaang Mongondow Timur,9
80906352292,PPN Dalam Negeri,Kabupaten Minahasa Selatan,0
59176890469,PPh Migas,Kabupaten Bolaang Mongondow,1
61963894798,PPnBM Lainnya,Kabupaten Bolaang Mongondow Timur,9
72134786396,PPh Final,Kabupaten Bolaang Mongondow Selatan,2
11125257322,PPN Impor,Kabupaten Minahasa Tenggara,3
88691317029,PPnBM Lainnya,Kabupaten Bolaang Mongondow Timur,9
99089205763,PPnBM Lainnya,Kabupaten Kepulauan Sangihe,2
36178555207,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
75628705469,PPh Pasal 22,Kota Kotamobagu,3
24991296451,PPN Impor,Kabupaten Bolaang Mongondow,1
50587155698,Pajak Lainnya,Kota Kotamobagu,1
51162496678,PPh Pasal 21,Kabupaten Kepulauan Talaud,5
97419376672,PPnBM Lainnya,Kabupaten Minahasa,3
89961179602,PPh Migas,Kabupaten Minahasa Tenggara,3
63814685263,PPh Final,Kota Tomohon,2
